fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
1;0.025;2.0;0.6354568854568855;0.6700434153400868;0.10136795043945312;0.09029865264892578;NA
2;0.025;2;0.6406048906048907;0.6237337192474675;0.1009969711303711;0.09108090400695801;[(-1,), (1,)]
3;0.025;2.0;0.6435006435006435;0.597684515195369;0.10389089584350586;0.09233546257019043;NA
4;0.025;2.0;0.6377091377091377;0.6497829232995659;0.10103726387023926;0.09061241149902344;NA
5;0.025;2.0;0.638996138996139;0.638205499276411;0.10356330871582031;0.09294557571411133;NA
6;0.025;2.0;0.6394787644787645;0.6338639652677279;0.0981903076171875;0.0879971981048584;NA
7;0.025;2.0;0.6352960102960103;0.6714905933429812;0.10074162483215332;0.08817291259765625;NA
8;0.025;2.0;0.6366414669454721;0.6594202898550725;0.0989384651184082;0.0887308120727539;NA
9;0.025;2.0;0.6388933569245617;0.6391304347826087;0.10385584831237793;0.09367871284484863;NA
10;0.025;2.0;0.6425928904616375;0.6057971014492753;0.09770989418029785;0.08740520477294922;NA
1;0.01;3;0.6518661518661519;0.6845151953690304;0.9370710849761963;0.18804359436035156;[(1,), (-3, -1), (-1, 3)]
2;0.01;3;0.6558880308880309;0.6483357452966715;0.5616843700408936;0.18816184997558594;[(1,), (-3, -1), (-1, 3)]
3;0.01;3;0.6574967824967825;0.6338639652677279;0.7725119590759277;0.18742084503173828;[(1,), (-3, -1), (-1, 3)]
4;0.01;3;0.6536357786357787;0.6685962373371924;0.8293173313140869;0.2234945297241211;[(1,), (-3, -1), (-1, 3)]
5;0.01;3;0.6550836550836551;0.6555716353111433;0.7592265605926514;0.1937098503112793;[(1,), (-3, -1), (-1, 3)]
6;0.01;3;0.6568532818532818;0.6396526772793053;0.9062290191650391;0.18862414360046387;[(1,), (-3, -1), (-1, 3)]
7;0.01;3;0.6518661518661519;0.6685962373371924;0.8936812877655029;0.18716096878051758;[(1,), (-10, -1), (-1, 10)]
8;0.01;3;0.6552999839150716;0.6536231884057971;0.767925500869751;0.19160747528076172;[(1,), (-3, -1), (-1, 3)]
9;0.01;3;0.6548174360624095;0.6579710144927536;0.8290233612060547;0.21963262557983398;[(1,), (-3, -1), (-1, 3)]
10;0.01;3;0.6588386681679267;0.6217391304347826;0.43459224700927734;0.19802021980285645;[(1,), (-3, -1), (-1, 3)]
1;0.005;5;0.6668275418275419;0.6888567293777135;8.85950231552124;0.6162159442901611;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
2;0.005;5;0.6682754182754183;0.6758321273516642;9.045316457748413;0.7474861145019531;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
3;0.005;5;0.6727799227799228;0.6353111432706223;7.583518743515015;0.6773016452789307;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
4;0.005;5;0.6676319176319176;0.6700434153400868;8.686902046203613;0.6391704082489014;[(1,), (-7, -1), (-1, 7, 12), (-12, -10, -1, 7), (-12, -1, 7, 10)]
5;0.005;4.0;0.6640926640926641;0.6454413892908828;9.607152462005615;0.08986878395080566;NA
6;0.005;5;0.671975546975547;0.6425470332850941;9.89318299293518;0.6407504081726074;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
7;0.005;5;0.6657014157014157;0.6874095513748191;136.67394065856934;0.6349046230316162;[(1,), (-6, -1), (-1, 6, 12), (-12, -10, -1, 6), (-12, -1, 6, 10)]
8;0.005;5;0.6686504745053885;0.672463768115942;9.878112316131592;0.7384107112884521;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
9;0.005;5;0.6689721730738298;0.6695652173913044;9.165640830993652;0.5636284351348877;[(1,), (-7, -1), (-1, 7, 12), (-12, -3, -1, 7), (-12, -1, 3, 7)]
10;0.005;5;0.6720283094740228;0.6420289855072464;4.8096935749053955;0.5668301582336426;[(1,), (-7, -1), (-3, -1, 7), (-12, -1, 3, 7), (-1, 3, 7, 12)]
fold;lamb;nleaves;trainaccu_OSDT;testaccu_OSDT;totaltime;time_c;leaves_c
